Account Number,Income,Credit Limit,Credit Rating,Household Size,Education Years,TV Hours Per Week,Age,Gender,Married,Credit Limit Breach
14065877,59.8,14.325847953216375,499.55087719298245,6,3,23,57,Male,No,No
21437302,74.5,24.77027027027027,706.2162162162163,6,2,40,37,Male,No,No
24184521,56.8,21.37077519379845,562.246511627907,1,3,48,43,Male,Yes,No
14880022,39.9,22.137777777777778,668.2666666666667,6,2,44,30,Female,No,No
24346545,96.6,23.666666666666664,820.0,4,2,9,25,Female,No,No
25139767,53.5,11.654901960784313,579.2941176470588,1,0,16,34,Male,Yes,No
8424632,126.9,17.524285714285718,691.4571428571429,5,0,43,56,Female,Yes,No
4781882,49.9,14.651269841269842,639.0761904761905,7,4,25,42,Female,No,No
28239888,52.0,10.555847953216375,513.3508771929825,6,0,38,57,Female,No,Yes
15048884,114.8,17.883333333333333,773.0,1,1,16,28,Male,Yes,No
4659321,126.9,20.633333333333333,758.0,6,2,5,40,Male,No,No
23075630,60.3,20.18521739130435,611.1130434782608,5,4,5,46,Male,Yes,No
4724635,42.3,17.655365853658537,639.3219512195121,4,3,12,41,Female,Yes,No
7794950,99.5,24.766666666666666,766.0,2,4,20,46,Male,No,No
372971,34.9,17.385438596491227,623.1263157894737,4,3,56,38,Male,Yes,No
11008291,71.5,12.053703703703702,603.2222222222222,3,0,34,36,Female,Yes,No
5458297,51.6,12.01962962962963,601.1777777777778,8,2,23,45,Male,No,No
9805512,90.7,13.485847953216373,569.1508771929824,4,0,60,57,Female,Yes,No
1046640,16.4,11.298235294117648,497.8941176470588,5,2,29,34,Female,Yes,No
25767927,47.0,12.66869918699187,700.1219512195122,7,4,8,41,Female,No,No
12663249,58.7,18.414408602150537,624.8645161290323,4,1,46,31,Female,Yes,No
8459859,81.4,22.34703703703704,740.8222222222223,6,4,51,36,Male,Yes,Yes
21754363,77.8,21.666666666666664,820.0,6,5,41,38,Male,No,No
29355312,99.2,20.64913580246914,638.9481481481482,1,2,6,54,Female,No,No
2000496,27.6,12.179181286549706,370.75087719298244,3,1,18,57,Female,Yes,No
8799951,82.3,19.71666666666667,763.0,5,5,34,46,Female,Yes,No
27033290,118.3,21.975555555555555,778.5333333333333,6,4,15,60,Female,Yes,No
18638518,67.5,23.37251461988304,682.3508771929825,7,2,10,57,Female,Yes,No
6013029,78.6,20.456666666666667,687.4,4,5,50,50,Female,No,No
22400666,36.9,10.265847953216374,495.95087719298243,6,2,19,57,Male,Yes,No
25744338,30.4,10.282514619883042,436.9508771929825,1,3,15,57,Female,Yes,No
27186018,24.1,13.573068783068782,334.38412698412696,3,2,43,63,Female,No,No
25944181,49.2,19.546666666666667,452.8,2,0,31,40,Female,No,No
29429534,76.4,15.410537634408602,504.6322580645161,5,1,12,62,Female,No,No
6101923,15.9,9.88108843537415,412.865306122449,3,4,51,49,Female,No,No
14995462,59.6,15.137712418300653,548.2627450980392,1,2,28,51,Male,Yes,No
3034485,105.7,19.883333333333333,833.0,3,4,56,28,Female,No,Yes
14497613,56.3,18.397777777777776,503.8666666666666,7,0,20,30,Male,No,No
1653114,74.7,15.324444444444445,799.4666666666667,7,4,40,48,Female,No,No
15982419,30.7,10.268888888888888,436.1333333333333,1,3,38,60,Male,No,No
13122131,103.8,21.646553672316383,698.793220338983,5,1,10,59,Female,Yes,No
29416507,60.1,11.645847953216373,518.7508771929824,7,3,30,57,Female,No,Yes
19826540,23.3,17.57,454.2,6,4,36,50,Male,Yes,No
23912034,77.3,24.627936507936507,757.6761904761904,3,5,50,42,Male,Yes,No
22227523,69.7,21.511045751633986,570.6627450980393,2,2,9,51,Male,Yes,No
5481221,106.8,17.26126984126984,795.6761904761904,6,3,59,42,Male,No,No
1552548,104.1,16.6,756.0,2,4,27,41,Male,No,Yes
6470048,80.3,14.640270270270271,758.4162162162163,2,4,19,37,Male,No,No
25487931,89.9,19.95,777.0,2,3,43,27,Female,Yes,No
25007131,82.6,19.234444444444442,674.0666666666666,2,3,8,48,Male,No,No
6568944,45.5,16.424242424242426,625.4545454545455,2,4,13,55,Male,No,Yes
6455160,45.7,15.297441860465117,497.846511627907,7,1,2,43,Male,Yes,Yes
16014897,76.1,20.816666666666666,769.0,5,5,49,44,Male,Yes,No
17814563,91.3,18.41090909090909,624.6545454545454,4,2,14,55,Male,No,No
11443767,105.8,22.53333333333333,752.0,4,5,25,43,Male,Yes,Yes
28375031,43.0,22.096296296296295,665.7777777777778,8,3,59,45,Male,Yes,No
15967543,66.7,12.978550724637682,598.7130434782609,5,0,38,46,Male,Yes,No
24035991,48.1,21.97030303030303,598.2181818181818,2,3,24,44,Female,Yes,No
2640129,29.7,19.43213675213675,505.9282051282051,1,4,43,39,Male,No,No
27069259,98.7,18.566666666666666,814.0,2,3,57,26,Female,No,No
1716370,119.5,14.566666666666666,754.0,5,3,24,44,Male,No,No
6740574,111.9,18.983333333333334,839.0,3,5,53,45,Male,Yes,Yes
16904952,30.5,11.266666666666667,616.0,6,2,49,32,Female,No,No
4820296,49.9,10.263703703703703,495.8222222222222,6,0,36,36,Female,Yes,No
15176396,54.7,22.168235294117647,610.0941176470589,2,3,42,34,Female,No,No
2533454,116.4,23.4574358974359,747.446153846154,8,2,59,52,Male,Yes,Yes
16790273,68.4,21.930370370370373,655.8222222222223,5,1,55,36,Male,Yes,No
28054301,28.3,20.83880341880342,650.3282051282051,5,4,48,39,Male,Yes,No
10206351,71.7,22.982032520325205,718.9219512195123,7,1,57,41,Male,No,No
28421385,69.8,12.77077519379845,646.246511627907,6,1,45,43,Female,No,No
3348962,78.3,13.817619047619047,589.0571428571428,8,1,5,56,Male,No,No
7887894,85.2,18.28354609929078,737.0127659574468,7,1,32,47,Male,No,No
2214342,22.6,9.929181286549708,535.7508771929824,3,4,37,57,Female,No,No
14259159,43.1,20.173333333333332,670.4,7,5,6,32,Female,No,No
4646074,109.6,18.53333333333333,812.0,4,1,1,41,Female,No,No
1780092,56.7,17.41030303030303,744.6181818181818,5,4,22,44,Male,No,No
16313800,125.5,27.47021276595745,808.2127659574468,1,0,23,47,Male,Yes,No
10125132,52.0,18.957070707070706,657.4242424242425,3,1,56,33,Male,Yes,No
11065808,40.0,9.967441860465115,478.04651162790697,7,2,41,43,Male,Yes,No
3361747,46.0,17.834108527131782,470.04651162790697,5,2,5,43,Female,No,No
19820027,101.3,18.066666666666666,844.0,3,4,40,43,Male,No,No
20977364,101.1,18.78333333333333,767.0,4,3,11,34,Female,No,No
15171096,83.1,20.587712418300654,515.2627450980392,7,0,8,51,Male,No,No
7972824,69.2,18.70027027027027,642.0162162162162,1,1,7,37,Male,No,No
22689265,47.4,16.794108527131783,647.646511627907,8,4,35,43,Female,No,No
22596549,82.0,18.5020325203252,750.1219512195122,7,2,59,41,Female,No,No
4690743,76.1,16.933333333333334,776.0,8,4,1,41,Male,Yes,No
29540159,63.9,17.08373737373737,725.0242424242424,5,5,57,33,Male,No,No
27334786,87.8,21.490270270270273,749.4162162162163,3,2,58,37,Male,No,Yes
1157829,67.1,21.769629629629627,586.1777777777777,2,1,21,45,Female,Yes,No
20466474,30.5,15.802459016393442,348.1475409836065,4,2,53,61,Female,No,No
10315180,69.6,21.623333333333335,637.4,4,3,46,40,Female,No,Yes
21421097,31.9,10.850909090909092,531.0545454545455,6,3,55,55,Male,No,No
11409800,36.2,17.803737373737373,648.2242424242424,3,5,23,33,Male,No,No
19144052,96.3,22.96855072463768,838.1130434782608,4,4,33,46,Male,No,Yes
23887312,50.3,15.386666666666667,623.2,2,5,44,40,Male,Yes,No
9339989,97.7,17.483333333333334,809.0,7,5,16,63,Female,No,No
26825633,70.6,16.544901960784316,692.6941176470589,5,2,51,34,Female,Yes,No
6370873,71.9,18.76493827160494,765.8962962962963,3,4,48,27,Female,No,No
11898332,22.9,13.560775193798449,333.646511627907,7,0,45,43,Female,Yes,No
25950666,68.9,19.48777777777778,749.2666666666667,2,5,50,48,Female,Yes,No
3691035,30.0,10.884108527131783,533.046511627907,8,4,49,43,Male,No,No
9017267,116.9,22.7,762.0,1,5,7,37,Male,No,No
12604097,82.0,20.583870967741937,755.0322580645161,2,4,35,62,Female,No,No
5364010,29.9,16.08027027027027,544.8162162162163,7,5,7,37,Female,Yes,No
11614563,117.5,23.787755102040816,767.2653061224489,3,3,32,49,Female,No,No
5364429,66.5,13.565873015873017,693.952380952381,3,0,37,21,Male,Yes,No
27966373,60.0,16.235365853658536,674.1219512195122,5,2,9,41,Female,Yes,No
7169046,50.8,20.35103448275862,621.0620689655173,4,3,23,29,Female,Yes,No
6604608,77.8,18.55,753.0,6,4,39,46,Male,No,No
17485929,100.2,22.55,753.0,2,0,17,32,Male,No,No
11108099,63.8,15.5,810.0,7,4,44,32,Female,Yes,No
8783277,46.4,10.108850574712644,486.5310344827586,7,4,22,58,Female,No,No
22386048,36.5,11.285470085470084,437.1282051282051,2,1,1,39,Male,Yes,No
11910983,74.9,19.21666666666667,793.0,8,5,17,33,Female,Yes,No
12403389,80.1,24.016666666666666,841.0,5,4,37,30,Male,Yes,No
3462500,111.1,19.933333333333334,776.0,2,3,19,46,Female,Yes,No
21311106,70.6,20.88771241830065,653.2627450980392,5,5,25,51,Female,Yes,No
17225837,42.9,13.09076923076923,365.44615384615383,2,1,47,52,Male,No,No
28381633,102.5,24.683333333333334,761.0,2,4,52,42,Male,No,No
11128055,46.3,18.218850574712643,433.13103448275865,1,1,59,58,Female,Yes,Yes
10592247,50.5,12.782389937106917,406.9433962264151,4,0,51,53,Male,No,Yes
21344014,31.4,14.429135802469137,625.7481481481482,5,4,6,54,Male,Yes,Yes
858023,64.7,14.583333333333334,755.0,5,4,59,32,Male,Yes,No
17289872,38.4,18.31757575757576,619.0545454545455,1,3,1,55,Female,Yes,No
10071020,100.0,16.983333333333334,779.0,6,5,57,39,Female,Yes,No
10660681,44.3,19.077070707070707,664.6242424242424,5,2,42,33,Male,No,No
20912185,47.8,7.784379084967321,407.0627450980392,2,1,42,51,Female,No,No
17714166,15.0,10.234108527131783,314.04651162790697,8,1,29,43,Male,Yes,No
11359809,83.5,24.0,780.0,6,4,20,35,Male,Yes,No
13588645,75.4,22.37551724137931,742.5310344827586,1,4,4,58,Female,No,No
4182608,95.3,25.933333333333334,836.0,1,5,20,48,Male,No,No
25449976,104.9,16.95322033898305,777.1932203389831,6,3,48,59,Female,No,No
470034,92.2,18.28,736.8,2,5,5,64,Female,No,Yes
16100943,54.0,16.46363636363636,567.8181818181818,6,2,52,44,Male,No,No
24632777,87.7,20.094367816091953,665.6620689655173,6,0,53,29,Male,Yes,No
2863287,34.6,9.207204301075269,492.4322580645161,4,4,53,62,Male,Yes,No
24108493,41.2,14.919181286549707,415.1508771929824,8,2,54,57,Male,No,No
24032391,60.0,17.73103448275862,643.8620689655172,6,2,54,29,Male,Yes,No
27841690,102.8,22.35,801.0,6,5,47,46,Male,No,Yes
4217331,41.3,14.483636363636363,689.0181818181818,2,4,49,44,Female,Yes,No
8166299,45.8,15.703870967741935,342.23225806451615,3,0,50,62,Male,No,No
21519170,45.1,13.444901960784314,746.6941176470589,2,4,60,34,Male,No,No
15798021,91.2,16.55,753.0,3,4,26,29,Female,Yes,No
27027310,81.8,15.766666666666667,826.0,6,4,37,44,Male,No,No
3208474,38.1,15.858803418803419,471.52820512820506,1,2,10,39,Female,Yes,No
24068063,62.4,18.864901960784316,651.8941176470588,6,1,48,34,Male,No,No
27216781,36.1,11.392459016393442,503.54754098360655,5,3,33,61,Male,No,Yes
25922110,43.8,10.146190476190474,548.7714285714285,7,3,42,35,Male,Yes,Yes
12083473,67.2,17.687575757575758,701.2545454545455,4,4,57,55,Male,Yes,No
18642306,47.6,17.41027027027027,804.6162162162162,6,5,28,37,Male,Yes,No
15799821,50.1,11.092459016393443,485.54754098360655,2,0,53,61,Male,No,No
522469,116.9,18.958850574712642,717.5310344827586,4,1,39,58,Male,No,No
23326942,74.4,17.71354609929078,822.8127659574468,5,4,28,47,Male,No,Yes
24813663,109.1,19.3,798.0,2,4,48,35,Female,No,No
24614746,108.1,17.392032520325202,683.5219512195122,7,0,49,41,Female,Yes,No
27174609,94.5,22.06111111111111,723.6666666666667,7,2,39,48,Male,Yes,No
7975265,65.0,16.357936507936508,621.4761904761905,3,4,49,42,Female,No,No
29284445,70.1,15.904102564102566,594.2461538461539,5,1,7,52,Male,Yes,No
23835489,99.5,19.76774193548387,766.0645161290322,4,2,16,31,Female,Yes,No
19873471,46.4,18.712469135802472,522.7481481481482,3,2,20,54,Male,Yes,No
2832605,53.6,18.845555555555556,590.7333333333333,2,4,20,60,Female,Yes,No
28791886,93.5,14.561111111111112,633.6666666666667,7,1,6,48,Male,Yes,No
8946352,112.5,25.4,804.0,5,4,50,54,Male,Yes,No
9586093,96.5,16.0,840.0,5,2,35,34,Female,No,No
6064144,98.8,19.46666666666667,808.0,1,5,51,24,Male,No,No
16831983,45.6,14.742136752136751,644.5282051282051,4,4,24,39,Male,No,No
29898521,104.5,14.983333333333333,779.0,2,4,28,27,Male,No,No
12419195,33.2,9.218235294117648,493.09411764705885,4,3,9,34,Male,No,No
21170016,36.8,13.762857142857142,585.7714285714285,3,2,60,35,Male,No,No
23116435,32.0,19.03333333333333,602.0,6,5,16,64,Male,Yes,No
3879735,87.2,18.334938271604937,800.0962962962963,5,2,2,27,Female,Yes,No
4301232,63.5,15.976553672316383,598.593220338983,5,2,15,59,Male,No,No
13830546,60.2,12.89912568306011,593.9475409836066,7,2,61,61,Female,No,No
7605648,76.6,14.936296296296295,656.1777777777777,4,1,12,45,Male,Yes,No
7802284,20.8,14.991088435374149,419.46530612244896,8,1,24,49,Female,No,Yes
23868893,92.1,15.5,750.0,1,3,9,38,Male,Yes,No
10234698,73.6,18.911568627450983,774.6941176470589,7,3,50,34,Female,No,No
25895270,28.4,16.02521739130435,601.5130434782609,4,4,30,46,Female,Yes,No
4865561,78.7,22.598803418803417,755.928205128205,5,3,27,39,Male,No,No
2876697,35.7,20.633603603603603,638.0162162162162,7,2,11,37,Male,Yes,Yes
21086787,87.8,14.267712418300652,736.0627450980392,4,3,8,51,Male,No,No
14053343,106.3,22.516666666666666,751.0,3,1,7,43,Male,No,No
14868163,77.3,23.757037037037037,765.4222222222222,7,2,29,36,Female,Yes,No
18125641,39.9,21.67521739130435,640.5130434782609,7,5,54,46,Male,No,No
20596328,93.6,24.0,780.0,4,4,30,45,Female,Yes,No
23886945,75.6,19.3,798.0,5,5,31,37,Female,Yes,No
17613761,105.3,18.34962962962963,800.9777777777778,4,4,42,45,Male,Yes,No
20088003,104.2,17.55,753.0,3,4,12,39,Female,Yes,No
25081553,87.4,19.228803418803416,733.7282051282051,7,4,7,39,Male,No,No
8782240,54.8,19.81444444444444,708.8666666666666,3,5,3,30,Male,No,No
5915423,89.5,17.18103448275862,790.8620689655172,3,2,41,29,Male,Yes,No
27309256,71.5,15.666666666666666,760.0,8,3,19,40,Female,Yes,No
11516648,107.1,20.266666666666666,796.0,7,2,33,46,Male,No,No
15882749,60.0,19.120212765957447,607.2127659574468,6,1,10,47,Male,Yes,No
16552992,37.9,14.162136752136751,669.7282051282051,6,5,8,39,Female,No,No
21000261,59.7,18.716879432624115,643.0127659574468,1,3,55,47,Male,Yes,No
29265684,84.2,19.816936936936937,649.0162162162162,7,2,38,37,Male,No,No
5479388,104.2,18.095723270440253,785.7433962264151,3,4,29,53,Male,No,No
264488,54.3,19.661269841269842,699.6761904761904,2,3,3,42,Male,No,No
26794917,116.4,19.166666666666664,850.0,5,3,37,31,Female,No,No
23131363,54.9,11.194108527131784,491.646511627907,4,2,13,43,Male,Yes,No
10867011,41.5,15.577777777777778,634.6666666666666,6,4,38,30,Male,No,No
20965615,88.0,16.71666666666667,823.0,3,4,30,54,Female,Yes,No
1471765,67.7,19.10108843537415,666.065306122449,1,1,56,49,Female,Yes,No
10345179,22.8,12.237441860465117,554.246511627907,5,5,17,43,Male,Yes,No
27230199,61.1,18.825792349726775,589.5475409836065,6,5,9,61,Female,No,No
18112326,85.9,19.663603603603605,759.8162162162163,6,1,48,37,Female,No,No
26113887,80.5,25.097435897435897,725.8461538461538,2,5,56,52,Male,Yes,No
26595273,42.8,13.606879432624112,516.4127659574467,7,4,58,47,Male,No,No
5142725,53.0,11.707575757575759,642.4545454545455,5,4,39,55,Male,Yes,No
9519933,67.8,19.06040404040404,783.6242424242424,7,5,14,33,Female,No,No
23921489,46.6,21.57104575163399,634.2627450980392,6,4,36,51,Male,No,No
22153601,28.6,7.830909090909091,409.8545454545455,5,3,19,55,Male,Yes,No
18211317,85.4,22.116666666666667,787.0,6,4,44,49,Male,Yes,No
5349406,63.8,19.90440860215054,594.2645161290322,8,1,25,31,Male,Yes,No
28414346,84.5,16.04126984126984,782.4761904761905,3,3,26,42,Female,Yes,No
7024081,53.4,16.17437908496732,550.4627450980392,6,3,33,51,Female,Yes,No
9917883,14.3,16.844603174603176,470.67619047619047,5,4,30,42,Female,Yes,No
2096007,85.7,18.743636363636362,764.6181818181818,3,1,33,44,Male,No,Yes
12174753,51.7,19.46888888888889,628.1333333333334,1,1,51,24,Female,Yes,No
2386886,47.5,18.836936936936937,710.2162162162163,4,4,32,37,Male,No,No
104457,97.2,18.233535353535352,674.0121212121212,1,0,3,66,Male,No,No
20449462,48.4,10.982222222222221,598.9333333333333,4,4,35,60,Male,Yes,No
19955465,92.7,19.09912568306011,725.9475409836066,5,1,4,61,Male,Yes,No
19476417,57.3,20.244603174603174,614.6761904761904,5,2,28,42,Male,No,No
8458998,74.7,20.28333333333333,797.0,8,4,57,35,Female,Yes,No
16958418,96.0,22.981884057971016,778.9130434782609,1,4,54,46,Male,Yes,No
5501938,55.0,18.514102564102565,450.84615384615387,5,1,53,52,Female,Yes,No
29617002,131.7,18.566666666666666,814.0,4,3,47,48,Male,No,No
20158147,42.0,21.644871794871797,638.6923076923077,7,4,11,26,Female,No,No
5772603,25.2,16.27126984126984,436.27619047619044,4,0,40,42,Male,Yes,No
15868037,47.3,20.586666666666666,755.2,5,3,50,25,Female,No,No
10118128,51.9,19.934603174603176,536.0761904761905,8,1,2,42,Male,No,No
12045288,41.1,14.81777777777778,649.0666666666667,3,3,14,48,Male,Yes,No
22789100,26.9,13.679135802469137,400.7481481481482,6,0,20,54,Male,No,No
9824189,116.8,18.116666666666667,787.0,3,5,54,52,Male,No,No
26818678,66.2,13.882032520325204,592.9219512195123,4,1,11,41,Male,Yes,No
26192535,127.1,17.633333333333333,758.0,3,2,56,64,Female,No,No
26242880,42.9,12.334242424242426,560.0545454545455,6,5,43,55,Female,No,No
14164853,40.3,14.908888888888889,414.5333333333333,4,2,18,60,Male,No,No
29424711,105.5,22.333333333333336,800.0,3,2,31,30,Female,No,No
17226889,44.2,11.947204301075267,596.832258064516,6,4,17,62,Female,Yes,No
10353094,83.5,16.667441860465118,640.046511627907,1,2,31,43,Female,No,No
1919503,45.8,11.906936936936939,594.4162162162163,2,2,56,37,Female,No,No
4524231,100.4,27.75,825.0,7,3,43,38,Female,Yes,No
18612963,106.0,16.01551724137931,660.9310344827586,8,2,21,58,Male,Yes,No
10688112,62.3,19.206879432624113,492.4127659574468,5,0,48,47,Male,No,No
27061943,114.3,20.71666666666667,763.0,6,4,20,54,Male,Yes,No
25327791,63.9,22.39076923076923,623.4461538461538,7,2,13,52,Male,No,No
24405475,62.7,14.704603174603175,702.2761904761905,3,4,37,42,Female,Yes,No
11465863,84.3,20.92,775.2,2,2,55,25,Female,No,No
18040814,48.2,14.43,625.8,4,5,3,40,Female,Yes,No
7650734,72.5,20.165217391304346,669.9130434782609,2,1,55,46,Male,Yes,No
23301122,38.9,12.87111111111111,532.2666666666667,5,0,12,30,Male,No,No
2760522,52.2,15.94111111111111,656.4666666666667,6,4,17,30,Female,Yes,No
10106427,42.9,13.22111111111111,613.2666666666667,3,4,20,30,Male,No,No
24986269,104.5,18.053546099290777,783.2127659574468,3,1,53,47,Female,Yes,No
21001445,85.5,19.259887005649716,555.593220338983,6,1,19,59,Male,Yes,No
21566012,98.2,18.833333333333336,770.0,7,2,23,53,Female,No,No
12916698,64.5,17.191269841269843,611.4761904761905,2,4,41,42,Female,No,No
16102400,107.8,16.8,768.0,2,5,48,33,Male,Yes,No
27465894,85.7,25.816666666666666,769.0,1,5,13,51,Female,Yes,No
11396835,73.8,24.916666666666664,775.0,8,1,54,24,Male,No,No
19589378,90.0,19.755555555555553,525.3333333333333,6,0,12,60,Male,No,No
13147958,75.5,14.376553672316383,562.593220338983,4,2,11,59,Male,Yes,No
18657348,51.4,21.267936507936508,556.0761904761905,3,4,15,42,Female,Yes,No
24815124,107.7,25.21333333333333,732.8,7,0,32,50,Male,Yes,No
18960844,18.3,12.73869918699187,404.3219512195122,4,3,58,41,Female,No,No
19026118,59.4,15.93037037037037,715.8222222222222,2,4,16,36,Female,No,No
4826835,30.4,15.400049751243781,384.00298507462685,2,0,22,67,Male,No,No
13433405,54.4,13.930270270270272,655.8162162162163,4,3,24,37,Male,Yes,No
756470,103.2,23.354603174603174,741.2761904761904,5,1,1,42,Male,Yes,No
12527670,34.1,14.856666666666666,591.4,3,4,25,32,Male,Yes,No
23735847,88.8,16.22354609929078,793.4127659574467,4,5,10,47,Male,No,No
1423005,53.5,24.097435897435897,725.8461538461538,5,4,23,52,Male,No,Yes
15667920,22.4,8.207619047619048,372.45714285714286,5,2,62,56,Female,No,No
125435,71.0,19.012962962962966,660.7777777777778,7,1,9,45,Male,No,No
9812365,55.3,19.91210526315789,654.7263157894736,5,3,38,38,Female,Yes,Yes
7362127,68.5,12.75,525.0,7,2,30,50,Male,No,No
2266273,99.7,21.15,849.0,5,4,49,62,Male,No,No
27220767,48.9,19.934603174603176,536.0761904761905,7,1,27,42,Male,No,No
28383626,107.3,22.457037037037036,807.4222222222222,6,0,37,36,Female,Yes,No
11866245,42.1,13.639999999999999,638.4,7,3,21,40,Male,Yes,No
4341145,42.0,16.66111111111111,519.6666666666667,2,4,59,48,Female,No,No
9363433,81.6,16.620769230769234,697.2461538461539,8,4,61,52,Female,No,No
20477648,64.0,22.897712418300653,653.8627450980392,2,2,27,51,Male,Yes,No
25870168,45.9,17.61793650793651,457.0761904761905,7,2,45,42,Female,No,No
1346796,79.6,24.636969696969697,698.2181818181818,8,3,5,44,Male,No,No
5083352,100.2,16.857777777777777,771.4666666666667,1,4,22,48,Female,No,No
27028931,105.9,24.0,780.0,6,2,59,50,Female,No,No
18470329,69.3,11.584379084967319,575.0627450980392,4,2,3,51,Female,No,No
3436429,68.5,13.536879432624113,572.2127659574468,5,3,56,47,Male,No,No
25593912,51.1,19.79,527.4,6,1,53,50,Male,No,No
27306192,55.8,22.753333333333334,645.2,7,1,29,40,Male,No,Yes
2661283,66.2,21.5,810.0,6,4,52,29,Female,Yes,No
23489729,103.1,13.86251461988304,711.7508771929824,7,3,53,57,Female,No,Yes
21699465,55.3,9.836666666666666,470.2,4,2,14,50,Female,Yes,No
11237377,85.0,14.054901960784314,723.2941176470588,2,1,5,34,Female,No,No
1709122,53.7,10.977712418300655,418.66274509803924,6,0,42,51,Female,Yes,No
220265,90.1,23.05869918699187,663.5219512195122,3,2,52,41,Female,Yes,Yes
23907605,29.2,18.34774193548387,560.8645161290323,6,2,55,31,Male,Yes,No
25517016,92.3,14.991088435374149,599.465306122449,3,1,10,49,Female,Yes,No
18430470,72.1,17.436296296296295,626.1777777777777,4,1,16,45,Male,Yes,No
5055846,73.8,18.7,762.0,7,5,41,41,Female,No,No
9100457,48.4,19.693333333333335,641.6,4,4,40,50,Male,No,No
1939545,45.0,8.383068783068783,442.984126984127,5,1,52,63,Male,No,No
7867553,77.2,12.35543859649123,561.3263157894737,3,1,58,38,Male,Yes,No
20470074,55.2,12.444285714285716,506.6571428571429,5,3,16,56,Female,No,No
25415002,117.2,17.337575757575756,740.2545454545455,7,3,36,55,Male,No,Yes
19309312,46.6,12.756666666666666,465.4,7,3,56,64,Male,No,Yes
11715814,8.0,10.470370370370372,448.22222222222223,8,4,45,36,Male,Yes,No
15144054,108.0,21.864102564102563,771.8461538461538,4,1,29,52,Female,No,No
